RunID,DN_bytes,MN_bytes,CN_units,CF_bytes,EC_ms,OC_ms,FC_estimate
1761406475236,480000,0,59794.71,1024.00,111,0,540929.71
1761408976609,0.1667,0.1667,1.0000,0.2857,480000,0,59794.71,1024.00,121,0,540939.71
1761410635019,480000,0,59794.71,1024.00,112,0,540930.71
1761411917485,480000,0,59794.71,1024.00,107,0,540925.71
1761412207346,0.0000,0.0000,0.0000,0.0000,480000,0,59794.71,1024.00,106,0,540924.71
1761457951964,0.8333,0.0000,0.0000,0.0000,480000,0,59794.71,1024.00,116,0,540934.71
1761458423173,0.8333,0.0000,0.0000,0.0000,480000,0,59794.71,1024.00,111,0,540929.71
1761462126787,0.3333,0.2000,1.0000,0.3333
1761466883447,1.0000,1.0000,1.0000,1.0000
1761542729752,1.0000,1.0000,1.0000,1.0000
1761807525628,1.0000,1.0000,1.0000,1.0000
1761813428075,1.0000,1.0000,1.0000,1.0000
1761814067377,1.0000,1.0000,1.0000,1.0000
1761831372463,1.0000,1.0000,1.0000,1.0000
1761833138132,1.0000,1.0000,1.0000,1.0000
1761833860031,1.0000,1.0000,1.0000,1.0000
1761834981099,1.0000,1.0000,1.0000,1.0000
1761835109430,1.0000,1.0000,1.0000,1.0000
0,0.6667,0.5000,1.0000,0.6667,0.10,0.10,3
1,0.7500,0.5000,1.0000,0.6667,0.10,0.10,4
2,0.4000,0.0000,0.0000,0.0000,0.10,0.10,5
3,0.3333,0.2000,1.0000,0.3333,0.10,0.10,6
4,0.0000,0.0000,0.0000,0.0000,0.10,0.40,3
5,0.2500,0.0000,0.0000,0.0000,0.10,0.40,4
6,0.6000,0.0000,0.0000,0.0000,0.10,0.40,5
7,0.6667,0.3333,1.0000,0.5000,0.10,0.40,6
8,0.3333,0.0000,0.0000,0.0000,0.10,0.70,3
9,0.2500,0.0000,0.0000,0.0000,0.10,0.70,4
10,0.8000,0.0000,0.0000,0.0000,0.10,0.70,5
11,0.5000,0.0000,0.0000,0.0000,0.10,0.70,6
12,0.6667,0.0000,0.0000,0.0000,0.10,1.00,3
13,0.7500,0.0000,0.0000,0.0000,0.10,1.00,4
14,0.6000,0.0000,0.0000,0.0000,0.10,1.00,5
15,0.8333,0.0000,0.0000,0.0000,0.10,1.00,6
16,1.0000,1.0000,1.0000,1.0000,0.30,0.10,3
17,0.5000,0.3333,1.0000,0.5000,0.30,0.10,4
18,0.4000,0.2500,1.0000,0.4000,0.30,0.10,5
19,0.5000,0.2500,1.0000,0.4000,0.30,0.10,6
20,0.6667,0.0000,0.0000,0.0000,0.30,0.40,3
21,0.2500,0.0000,0.0000,0.0000,0.30,0.40,4
22,0.6000,0.3333,1.0000,0.5000,0.30,0.40,5
23,0.3333,0.0000,0.0000,0.0000,0.30,0.40,6
24,0.6667,0.0000,0.0000,0.0000,0.30,0.70,3
25,0.0000,0.0000,0.0000,0.0000,0.30,0.70,4
26,0.6000,0.0000,0.0000,0.0000,0.30,0.70,5
27,0.5000,0.0000,0.0000,0.0000,0.30,0.70,6
28,0.6667,0.0000,0.0000,0.0000,0.30,1.00,3
29,0.7500,0.0000,0.0000,0.0000,0.30,1.00,4
30,0.8000,0.0000,0.0000,0.0000,0.30,1.00,5
31,0.6667,0.0000,0.0000,0.0000,0.30,1.00,6
32,0.3333,0.0000,0.0000,0.0000,0.50,0.10,3
33,0.2500,0.0000,0.0000,0.0000,0.50,0.10,4
34,0.6000,0.3333,1.0000,0.5000,0.50,0.10,5
35,0.6667,0.3333,1.0000,0.5000,0.50,0.10,6
36,0.6667,0.0000,0.0000,0.0000,0.50,0.40,3
37,0.7500,0.0000,0.0000,0.0000,0.50,0.40,4
38,1.0000,1.0000,1.0000,1.0000,0.50,0.40,5
39,0.5000,0.0000,0.0000,0.0000,0.50,0.40,6
40,0.3333,0.0000,0.0000,0.0000,0.50,0.70,3
41,0.5000,0.0000,0.0000,0.0000,0.50,0.70,4
42,1.0000,1.0000,1.0000,1.0000,0.50,0.70,5
43,0.6667,0.0000,0.0000,0.0000,0.50,0.70,6
44,0.6667,0.0000,0.0000,0.0000,0.50,1.00,3
45,0.7500,0.0000,0.0000,0.0000,0.50,1.00,4
46,0.8000,0.0000,0.0000,0.0000,0.50,1.00,5
47,0.6667,0.0000,0.0000,0.0000,0.50,1.00,6
48,0.3333,0.0000,0.0000,0.0000,0.70,0.10,3
49,0.5000,0.0000,0.0000,0.0000,0.70,0.10,4
50,0.8000,0.5000,1.0000,0.6667,0.70,0.10,5
51,0.3333,0.0000,0.0000,0.0000,0.70,0.10,6
52,0.3333,0.0000,0.0000,0.0000,0.70,0.40,3
53,0.5000,0.0000,0.0000,0.0000,0.70,0.40,4
54,0.6000,0.0000,0.0000,0.0000,0.70,0.40,5
55,0.6667,0.0000,0.0000,0.0000,0.70,0.40,6
56,0.6667,0.0000,0.0000,0.0000,0.70,0.70,3
57,0.7500,0.0000,0.0000,0.0000,0.70,0.70,4
58,0.6000,0.0000,0.0000,0.0000,0.70,0.70,5
59,0.8333,0.0000,0.0000,0.0000,0.70,0.70,6
60,0.6667,0.0000,0.0000,0.0000,0.70,1.00,3
61,0.7500,0.0000,0.0000,0.0000,0.70,1.00,4
62,0.6000,0.0000,0.0000,0.0000,0.70,1.00,5
63,0.8333,0.0000,0.0000,0.0000,0.70,1.00,6
64,1.0000,1.0000,1.0000,1.0000,0.90,0.10,3
65,1.0000,1.0000,1.0000,1.0000,0.90,0.10,4
66,0.6000,0.0000,0.0000,0.0000,0.90,0.10,5
67,0.5000,0.0000,0.0000,0.0000,0.90,0.10,6
68,0.6667,0.0000,0.0000,0.0000,0.90,0.40,3
69,0.7500,0.0000,0.0000,0.0000,0.90,0.40,4
70,0.6000,0.0000,0.0000,0.0000,0.90,0.40,5
71,0.8333,0.0000,0.0000,0.0000,0.90,0.40,6
72,1.0000,1.0000,1.0000,1.0000,0.90,0.70,3
73,0.7500,0.0000,0.0000,0.0000,0.90,0.70,4
74,1.0000,1.0000,1.0000,1.0000,0.90,0.70,5
75,0.8333,0.0000,0.0000,0.0000,0.90,0.70,6
76,0.6667,0.0000,0.0000,0.0000,0.90,1.00,3
77,0.7500,0.0000,0.0000,0.0000,0.90,1.00,4
78,0.8000,0.0000,0.0000,0.0000,0.90,1.00,5
79,0.8333,0.0000,0.0000,0.0000,0.90,1.00,6
1761836065433,1.0000,1.0000,1.0000,1.0000
1761836436889,1.0000,1.0000,1.0000,1.0000
1761836702660,1.0000,1.0000,1.0000,1.0000
1761891704636,1.0000,1.0000,1.0000,1.0000
